dataset,stateOperator,targetState,releaseDate,userReportedLocation,rndOriginCoordinates,rndTargetCoordinates,controlCoordinates,followerCount,followingCount,accountCreationDate,accountLanguage,userDisplayName,userScreenName,userProfileDescription,userProfileUrl
GHA or NGA,RUS (IRA),USA,2020-03,"New Jersey, USA","11.99390569,11.33551709","42.78113807,-78.88724344","55.757045,37.6099233",474,649,12/2/2019,en,,,"This is Africa. Full of beautiful People and Great Culture✊🏾
‼Always ReTweet PINNED Tweet‼

Do FOLLOW me BACK",
GHA or NGA,RUS (IRA),USA,2020-03,,"8.016439499,6.653795143","41.01863045,-105.4620024","55.757045,37.6099233",916,2036,9/2/2019,en,,,There is no country which can boast of democracy if it stifles the ability of its citizens.,
GHA or NGA,RUS (IRA),USA,2020-03,,"12.45274658,7.137267813","66.07302775,-152.5700565","55.757045,37.6099233",952,1189,12/17/2019,en,,,Projecting blacks in a new light.,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.245858593,3.213157834","29.14313815,-81.61624136","55.757045,37.6099233",756,792,8/21/2019,en,,,Queer rights matter,
GHA or NGA,RUS (IRA),USA,2020-03,,"11.14165815,7.189317641","62.9034107,-159.4926472","55.757045,37.6099233",0,3,2/17/2020,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,"North Carolina, USA","11.85720899,7.848329","59.98065155,-151.3025302","55.757045,37.6099233",1586,3761,7/16/2019,en,,,"It's my job #ToGoThere , tell the most difficult stories and bring you all the Breaking News Around The World",
GHA or NGA,RUS (IRA),USA,2020-03,,"12.82090005,12.85054178","59.78432333,-161.6455328","55.757045,37.6099233",2,24,2/13/2020,en,,,A stop for everything black,
GHA or NGA,RUS (IRA),USA,2020-03,"Washington, USA","10.17314616,9.305328068","41.98707855,-103.1072248","55.757045,37.6099233",5445,4418,7/12/2019,en,Beautiful Africa (NO Racism🚫 ),blackpride____,"Follow this Account 🙏🏽
News Channel 
#HumanRightsActivist #BLM #PoliceBrutality   #saynotoRacism
Kindly RETWEET PINNED Tweet",
GHA or NGA,RUS (IRA),USA,2020-03,"Accra, Ghana","5.58436793,-0.403838329","31.88799442,-97.45762253","55.757045,37.6099233",48,72,7/8/2019,en,,,black woman passionate about my roots,
GHA or NGA,RUS (IRA),USA,2020-03,"Accra, Ghana","9.251725492,-1.67328179","33.18836791,-80.56116716","55.757045,37.6099233",2005,536,8/29/2018,en,,,"We are a movement of Lesbians, Gays, Bisexuals, Transgenders, Intersex, Queers and Allies championing the freedom for LGBT+ persons in Ghana. ❤🌺💛💚💙💜",https://lgbtrightsgh.org/
GHA or NGA,RUS (IRA),USA,2020-03,,"6.82340485,4.611850607","34.18855193,-85.9663235","55.757045,37.6099233",794,881,7/11/2019,en,,,A society without diversity is a society yet unborn.,
GHA or NGA,RUS (IRA),USA,2020-03,,"8.018954586,6.026897406","48.70099954,-112.8220181","55.757045,37.6099233",813,1335,12/18/2019,en,,,"Campaigning to reshape the world ideologies about Blacks. Narrate it Achievement, Struggles & Values

#blackexcellence #racism #BlackLivesMatter #blackcommunity",
GHA or NGA,RUS (IRA),USA,2020-03,"New Orleans, LA","12.54696578,4.656917798","37.03263554,-114.7825764","55.757045,37.6099233",4508,5237,7/12/2019,en,,,"Redefining Black History
#EndRacism
Daily News #saynotoracism",
GHA or NGA,RUS (IRA),USA,2020-03,"Madina, Ghana","7.292813349,-0.800248008","40.37668771,-85.71346856","55.757045,37.6099233",6,155,7/27/2019,en,,,Money On My Mind. I love big titts and fat ass😎💡,
GHA or NGA,RUS (IRA),USA,2020-03,"England, United Kingdom","9.316922662,10.94149884","37.9219609,-94.09548447","55.757045,37.6099233",16,26,12/3/2017,en,,,Lost in the woods,
GHA or NGA,RUS (IRA),USA,2020-03,,"5.585126193,7.23602177","64.62911386,-146.658849","55.757045,37.6099233",19,170,7/5/2019,en,,,"Black Power simply means: Look at me, I'm here. I have dignity. I have pride. I have roots. I insist, I demand that I participate in every decision.",
GHA or NGA,RUS (IRA),USA,2020-03,"Indiana, USA","9.036604337,7.704318983","40.29719138,-110.9458998","55.757045,37.6099233",2824,4303,7/16/2019,en,,,"Lets Promote And Celebrate #BlackExcellence with Commentary And Analysis 

Unapologetically Black// NoToRacism #TheNewAfrica",
GHA or NGA,RUS (IRA),USA,2020-03,"Greater Accra, Ghana","7.749633737,-2.318005298","43.0719952,-116.5514961","55.757045,37.6099233",82,113,7/5/2019,en,,,We all need to come together and eliminate barriers for the Libration of Africa and the world as a whole,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.837630895,6.538332798","28.80721297,-81.62218511","55.757045,37.6099233",238,746,7/8/2019,en,,,Eliminating Barriers for the Liberation of Africa.(EBLA) TOGETHER WE FIGHT AGAINST RACISM AND POLICEBRUTALITY. 🤝🏿🤝🏿🤝🏿  follow @Blackindark2🙏🏿,
GHA or NGA,RUS (IRA),USA,2020-03,,"5.410185196,6.611409169","32.89397655,-87.13181581","55.757045,37.6099233",1244,1659,12/18/2019,en,,,elevating black lives,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.120740901,11.12460114","61.55519082,-161.9291143","55.757045,37.6099233",5,0,10/4/2016,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,,"9.483133612,5.676485533","44.0589095,-71.48079865","55.757045,37.6099233",1,19,2/13/2020,en,,,"I'm a proactive blogger who is passionate about the #BlackCommunity by Showcasing their History, Struggles, Cultural Values and Excellence. #BlackExcellence",
GHA or NGA,RUS (IRA),USA,2020-03,"Accra - Adenta, Ghana","6.993585439,-1.943350758","67.68738708,-155.088749","55.757045,37.6099233",17,104,7/27/2019,en,,,Self Love ♡ Dreamer Music Love Life God♧ 24/07,
GHA or NGA,RUS (IRA),USA,2020-03,,"12.38845147,12.066291","47.05855966,-92.05343929","55.757045,37.6099233",1409,1956,7/16/2019,en,,,let us all come together and eliminate barriers for the liberation of Africa and the world as a whole✊🏿✊🏿,
GHA or NGA,RUS (IRA),USA,2020-03,Italy,"9.983824003,10.42495526","40.11615272,-81.31520647","55.757045,37.6099233",164,184,9/21/2019,en,,,A young confused lady looking for her way around here 🤔,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.545132639,9.598328318","32.14629898,-87.36905521","55.757045,37.6099233",0,0,4/17/2018,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.131436876,4.852832181","47.62544476,-96.69705421","55.757045,37.6099233",3152,4253,7/14/2019,en,,,"Fighting against Racism,Discrimination and Police Brutality . The lives of black people matters .  #policebrutality #racism #blacklivesmatter",
GHA or NGA,RUS (IRA),USA,2020-03,,"10.93119775,6.000011379","45.86648041,-120.2863303","55.757045,37.6099233",189,511,1/13/2020,en,,,"Black and Proud. Black history,liberation,excellence and achievements#blackpower#blacklove ig@our_root",
GHA or NGA,RUS (IRA),USA,2020-03,,"8.56769124,10.25699224","42.89092472,-72.87505843","55.757045,37.6099233",16,35,2/18/2020,en,,,"Black history,black society, black culture and the effects they have on the society...we aim at eliminating barriers and liberating the black community...",
GHA or NGA,RUS (IRA),USA,2020-03,,"9.747578793,10.83868368","37.91469703,-82.6928513","55.757045,37.6099233",83,81,9/9/2015,en,,,musician,
GHA or NGA,RUS (IRA),USA,2020-03,somewhere with the queer ,"7.769857954,6.569525925","44.27986057,-117.7427567","55.757045,37.6099233",413,697,8/29/2019,en,,,"We are championing the cause of eliminating discrimination affecting the rights of Lgbt+ persons globally. 
Creating awareness through activism.",
GHA or NGA,RUS (IRA),USA,2020-03,,"5.858055853,7.411532552","68.84063596,-152.7073571","55.757045,37.6099233",0,11,2/11/2020,en,,,Celebrating the achievements of Africans in the globe,
GHA or NGA,RUS (IRA),USA,2020-03,,"12.09630151,12.18821905","48.52605294,-115.9546857","55.757045,37.6099233",37,47,8/24/2017,en,,,WWE NBA Movies,
GHA or NGA,RUS (IRA),USA,2020-03,,"5.23016544,5.522845113","41.72752877,-99.86784938","55.757045,37.6099233",1081,1944,8/27/2019,en,,,"Hating someone based on colour is inhumane, disgusting and abominable",
GHA or NGA,RUS (IRA),USA,2020-03,"Tema, Ghana","9.164431025,-2.503299001","67.26720325,-159.3301788","55.757045,37.6099233",85,127,7/27/2019,en,,,"I Am A Feminist, Black Activist, Humanitarian, Music Lover and Dreamer...",
GHA or NGA,RUS (IRA),USA,2020-03,In paradise baby 💋,"10.72645935,6.281206621","44.50088719,-123.0438924","55.757045,37.6099233",59,69,1/2/2018,en,,,former account @shortcutegirl....... Foodie...Retired troublemaker😝 IG:satomi_vera_williams SC:satomiwilliams,
GHA or NGA,RUS (IRA),USA,2020-03,,"10.59046396,-2.151189496","45.45862506,-114.8930706","55.757045,37.6099233",7,6,2/13/2020,en,,,Black activist trying to change the world,
GHA or NGA,RUS (IRA),USA,2020-03,Worldwide,"6.006327663,-2.977362262","30.53450176,-93.32679557","55.757045,37.6099233",823,490,4/3/2014,en,,,"●Muzician●Good muzik for your soul●
Contact +233 571 642 742 for bookings",https://soundcloud.com/k-shaw-6
GHA or NGA,RUS (IRA),USA,2020-03,,"7.219956356,-1.352328275","41.68586969,-80.29793016","55.757045,37.6099233",1,1,4/28/2018,en,,,This page is to show case all what blacks have accomplished and black EXCELLENCE 👑,
GHA or NGA,RUS (IRA),USA,2020-03,,"5.345970246,-1.989932208","69.12803711,-160.1343869","55.757045,37.6099233",0,0,12/17/2019,en,,,we are blacks and we are proud of our colour,
GHA or NGA,RUS (IRA),USA,2020-03,,"7.895542217,-0.88936731","39.69327494,-112.2119896","55.757045,37.6099233",3021,3125,7/14/2019,en,,,We all need to come together as one and eliminate barriers for the liberation of Africa,
GHA or NGA,RUS (IRA),USA,2020-03,,"9.393417875,0.407127354","37.84891362,-114.3769498","55.757045,37.6099233",0,0,7/14/2019,en,,,,
GHA or NGA,RUS (IRA),USA,2020-03,,"6.641574612,-1.216634634","36.8957436,-95.28180922","55.757045,37.6099233",0,0,2/11/2020,en,,,"History, beauty and life of Africans",
