user_reported_location,follower_count,following_count,account_creation_date,account_language,user_display_name,user_screen_name,userid,user_profile_description,user_profile_url
"Accra, Ghana",130,190,6/12/2017,en,,,0biUYz0EYY+ffddjSD8tf7+drN978R+BsJ84PRzqqI=,Creative Ninja,
"Brooklyn, NY",5275,4559,7/16/2019,en,Fight Racism,AfricaThen,1.15118E+18,,
,1491,3329,11/1/2019,en,,,GmEcAIM5huaLATaRCzPkak8cb1eDGQgFUuPMgZEL5E=,"I am •An Explorer •A Writer •An Adventurer •An Activist •Single

This Page Is To Celebrate And Promote Black Culture. Black Women Deserve To Be Loved ❤❤❤",
,0,0,7/12/2019,en,,,zYP2ONT0URiihmkkhDgz94TiNPT83FO7aUstfRcmtTE=,,
"California, USA",3258,4736,7/8/2019,en,,,MvlumhW1POLgzgogRv5RTSkbQQBj4Y0oUwzccfzm3Tk=,"Young Black King. Proud to be Obibini.
#saynotoracism #HumanRights
RT pinned tweet.",
,14,34,10/14/2019,en,,,6FbP3UohYAVYwh7eezX38YFs1maAE0ewXZqT5ccs4=,easy going,
,1179,1702,12/17/2019,en,,,ZojOhCuDAa9y5X1vGFGfkvBEstJI7eeuVbZXTV0e5jw=,Activist fighting against racism and sexism,
,95,147,11/27/2019,en,,,H2PSIOTcR8CxyUWzDi8EsKl9ViwEVOz5TpLD93G0C8=,Living life that makes you happy is more satisfying than living to the expectations of the society. 🌈🌈🌈🌈,
Somewhere In Africa,12,60,7/27/2019,en,,,juqFwfUmBWqG5ctHE1X5gDcNJTCwSdJ3vo5KkfstTtg=,Savage Sex Love Life Lick Drip💫💦,
,1161,2104,10/1/2019,en,,,0L60fzrF1hM7AqqxWiytrC2RJ7GaNhKLjiKxO4xX+h0=,EBLA is a movement of people fighting to eliminate ALL FORMS of discrimination and oppression.,
,2693,4984,9/1/2019,en,,,84BLafWJGuzgGU49qs7ixBMFcXWFdNpHmexvAHtOVY=,"Black and Proud.
Queen of hearts.
#BlackLivesMatter
#Equality4All
✊🏿✊🏾✊🏽",
,49,103,7/23/2019,en,,,pV1eVbAJeMADcR52cAGx2sGIFWFamKArUMwRPd8oYc=,Musician/Song Writer/Event Planner bookings contact fmsoldiers@gmail.com/0549943897/0244739811/0541369045,
,0,3,9/18/2019,en,,,NBOmNb56JTs4IgJAadw303GfSdbBzlpBrANmZ3enA=,"Favorite color; Green
Landscaping worker
Capricorn",
,0,0,9/15/2019,en,,,QrhDbAS2OAs+x7AptAmLZUlEAN3zFGHihbNNB4iusCU=,,
"Geneva, Switzerland",147,118,1/10/2020,en,,,JOzol5JRP9Fe9AKlM5IEYZqpmS0a7OBeoaZtTLOUJ4=,"kindly FOLLOW Me🥰🙏🏽
❤Help make the world a better place 🚫Say NO to Discrimination 🚫",https://t.co/vF09C5JP39
"New Jersey, USA",474,649,12/2/2019,en,,,BCATVlfucjgvrw5ppw+DjgikNFBRP26W0aVdt+yOQI=,"This is Africa. Full of beautiful People and Great Culture✊🏾
‼Always ReTweet PINNED Tweet‼

Do FOLLOW me BACK",
,916,2036,9/2/2019,en,,,uLoGZJaGkQIO04exUS1wFuleaxnkVEWZhumJcU7JjBo=,There is no country which can boast of democracy if it stifles the ability of its citizens.,
,952,1189,12/17/2019,en,,,1DntkZtHsnN9uWOilCnfeYFQopteUDy2D7JC1Bo+AZA=,Projecting blacks in a new light.,
,756,792,8/21/2019,en,,,+dqWn63XKrwrFoWwXLd2+4J0ehNMZ5TIZ+6uhBMVGZE=,Queer rights matter,
,0,3,2/17/2020,en,,,WXqclzbWd7o0EpzpYMe7fBsnSWr8kVKtCFqGSG97RQ=,,
"North Carolina, USA",1586,3761,7/16/2019,en,,,5RYcGs0KBrQi1ZyZ9mikOwNoX7Uj8SQlr8SM2+LvVk=,"It's my job #ToGoThere , tell the most difficult stories and bring you all the Breaking News Around The World",
,2,24,2/13/2020,en,,,MNht9H2IG5CLuPnRKQpQ1ePh+2WRpHiecvlDZp72F4=,A stop for everything black,
"Washington, USA",5445,4418,7/12/2019,en,Beautiful Africa (NO Racism🚫 ),blackpride____,1.14981E+18,"Follow this Account 🙏🏽
News Channel 
#HumanRightsActivist #BLM #PoliceBrutality   #saynotoRacism
Kindly RETWEET PINNED Tweet",
"Accra, Ghana",48,72,7/8/2019,en,,,vDbTMuaSnvtV44UlIW+iI0lvsScbxpJwxkTz6hLCSVo=,black woman passionate about my roots,
"Accra, Ghana",2005,536,8/29/2018,en,,,Cmz0SoZWFosWGMmbrHRWb4EAw5Bvo5fP1iXS8CNQJ4=,"We are a movement of Lesbians, Gays, Bisexuals, Transgenders, Intersex, Queers and Allies championing the freedom for LGBT+ persons in Ghana. ❤🌺💛💚💙💜",https://lgbtrightsgh.org/
,794,881,7/11/2019,en,,,lMFGThBur3jNLkUPhxxjaEur5Y8YLHRg+lqoNa1zI=,A society without diversity is a society yet unborn.,
,813,1335,12/18/2019,en,,,SO5NeVEMBRT0bPJHLyj6fnBPHOSajS6bIQuj5FyJBM=,"Campaigning to reshape the world ideologies about Blacks. Narrate it Achievement, Struggles & Values

#blackexcellence #racism #BlackLivesMatter #blackcommunity",
"New Orleans, LA",4508,5237,7/12/2019,en,,,Cdilt65wnJiBlxkJd9dUDOuROKqyMjK9p3kk+cYugXo=,"Redefining Black History
#EndRacism
Daily News #saynotoracism",
"Madina, Ghana",6,155,7/27/2019,en,,,eWDZ9xr1pWC2bnZWQgtP57s+ZILlXNlQjL3kqrYR0=,Money On My Mind. I love big titts and fat ass😎💡,
"England, United Kingdom",16,26,12/3/2017,en,,,MczeHtvF81D68NCNGBIo17LIirvdATWGZ6NoKtNs0=,Lost in the woods,
,19,170,7/5/2019,en,,,zrFW5DKTfvwYUbweF3gvynTMbhe0QG9YjWEe3mas7Q=,"Black Power simply means: Look at me, I'm here. I have dignity. I have pride. I have roots. I insist, I demand that I participate in every decision.",
"Indiana, USA",2824,4303,7/16/2019,en,,,iYAwp7NTHmzadsqynYg0pgSC+Da0qyb40BuKC6Mhp4=,"Lets Promote And Celebrate #BlackExcellence with Commentary And Analysis 

Unapologetically Black// NoToRacism #TheNewAfrica",
"Greater Accra, Ghana",82,113,7/5/2019,en,,,maCxMbaDjzWhuNlec+Ql0bjooA+8qiqpv4owC5Tkmzo=,We all need to come together and eliminate barriers for the Libration of Africa and the world as a whole,
,238,746,7/8/2019,en,,,2s8TbPO6WKn4L6+7nRuoMaGWfM7aiHuel2gN6qXKnV8=,Eliminating Barriers for the Liberation of Africa.(EBLA) TOGETHER WE FIGHT AGAINST RACISM AND POLICEBRUTALITY. 🤝🏿🤝🏿🤝🏿  follow @Blackindark2🙏🏿,
,1244,1659,12/18/2019,en,,,WZ1W77WloUuz4jbjw8j5omNlBCFy7+WC2ruepmhAP3o=,elevating black lives,
,5,0,10/4/2016,en,,,5ozu1CTBgYj8k+qvbesYDDSO70qrjF3MDku7FMvH4M=,,
,1,19,2/13/2020,en,,,ZwxBxsK4MCYr+e99V2ElHxBgooaCbsVYnGcden4yB2Q=,"I'm a proactive blogger who is passionate about the #BlackCommunity by Showcasing their History, Struggles, Cultural Values and Excellence. #BlackExcellence",
"Accra - Adenta, Ghana",17,104,7/27/2019,en,,,3cc94KVi4zr0KjtBNHgGYD80X5czUz4USA27yLzJM=,Self Love ♡ Dreamer Music Love Life God♧ 24/07,
,1409,1956,7/16/2019,en,,,rfOmy9js6e9K5rioY3gHpqDG6Ph+hzaWG8NN+l2KAQ=,let us all come together and eliminate barriers for the liberation of Africa and the world as a whole✊🏿✊🏿,
Italy,164,184,9/21/2019,en,,,A09RW4fvhssUqjQKoFoyz6v3pntTvDAX0JHLFDMOIfQ=,A young confused lady looking for her way around here 🤔,
,0,0,4/17/2018,en,,,JhSjpfnuKzfALYQGSbRbP+saeBqVZ9lyJtiKYnx2fSM=,,
,3152,4253,7/14/2019,en,,,WNxtYi7DrFnqZbZzupKRBu1PKsWUIFlACU7SGjcf23c=,"Fighting against Racism,Discrimination and Police Brutality . The lives of black people matters .  #policebrutality #racism #blacklivesmatter",
,189,511,1/13/2020,en,,,a4IH4rHn0pr8LZCkBsMT8jvUvjRtsKJ2PUCmLL2KHto=,"Black and Proud. Black history,liberation,excellence and achievements#blackpower#blacklove ig@our_root",
,16,35,2/18/2020,en,,,o3o1L+WOUkK1COUvLNu1IJZdiksEXHqzQJY2f4MCPKo=,"Black history,black society, black culture and the effects they have on the society...we aim at eliminating barriers and liberating the black community...",
,83,81,9/9/2015,en,,,C9y8uim+WkoigiwXrDm64nVwMNMIOs0Dzm9vFLEIEgY=,musician,
somewhere with the queer ,413,697,8/29/2019,en,,,ZYzYgr34nAZxldURebKMZEZDWMwOJ7pqv0zDiblFiA=,"We are championing the cause of eliminating discrimination affecting the rights of Lgbt+ persons globally. 
Creating awareness through activism.",
,0,11,2/11/2020,en,,,yDlD6XF4gZevADDkfOjsH7OQCToXMVBWPlF0amsLfW0=,Celebrating the achievements of Africans in the globe,
,37,47,8/24/2017,en,,,ivZHgHGU7DF7o69Wz+0m132NI4bUnNUCCwwU82qw08=,WWE NBA Movies,
,1081,1944,8/27/2019,en,,,gP9PB65mFowuIclEB+SCEf8S1x85eFO4vjECMOQ4yNI=,"Hating someone based on colour is inhumane, disgusting and abominable",
"Tema, Ghana",85,127,7/27/2019,en,,,mbBk9i0b1mVzJRidppagRIbmfQeTmXMOxvH6xB0fWI=,"I Am A Feminist, Black Activist, Humanitarian, Music Lover and Dreamer...",
In paradise baby 💋,59,69,1/2/2018,en,,,4xizgeDTdjht4QcCHJAVAzFMcBLAGyzD7bbeKa80UA=,former account @shortcutegirl....... Foodie...Retired troublemaker😝 IG:satomi_vera_williams SC:satomiwilliams,
,7,6,2/13/2020,en,,,lEF0AyBQFzs0jIl6r299NqeMIc+G1tCs6ac8whmdv0=,Black activist trying to change the world,
Worldwide,823,490,4/3/2014,en,,,5Y4MHq7eQsN5F9zHBAafMTXlr5jBjfi17+epzwtc2SY=,"●Muzician●Good muzik for your soul●
Contact +233 571 642 742 for bookings",https://soundcloud.com/k-shaw-6
,1,1,4/28/2018,en,,,sG1zIb5HIyXX37qQEx2GCrk25gK08Uk9ccV89wF5EQc=,This page is to show case all what blacks have accomplished and black EXCELLENCE 👑,
,0,0,12/17/2019,en,,,o5WA2cz3UiX46+sbGdTNeOM4ncNrdimxWpjLkg9ZLp4=,we are blacks and we are proud of our colour,
,3021,3125,7/14/2019,en,,,5FVVz+n2OId1GWqLGknVenFXodQrdBb8toPcBwDiKik=,We all need to come together as one and eliminate barriers for the liberation of Africa,
,0,0,7/14/2019,en,,,Hy21F4gE5G86tGwEtEZNpEIqEYiH47J6R+UT3MUVEck=,,
,0,0,2/11/2020,en,,,BE7nN5sImw5qmRDE8nFgQDv+r7J21r1PJ+ceGRzQfg=,"History, beauty and life of Africans",
